ItemTemplate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,ParentItem,ParentTable,SecondTable,ReqLevel,Skill,CraftTime,Weight,RepairType,MaxUses,NoDefault,ParentRecipe,TagRecipe,Ingredients,StaticIngredients,Products,Fuel,Yield,PluralName,Description,BlockChunks,RequireModule,FriendlyName,Category,Tags,CraftExperience,Labor,BackingCurrency,EcopediaCategory,EcopediaPage,,,,,,,,,,,,,,,,
SimpleSyrup,,Mill,,,4,400,12,0,3,0,15,96,200,Milling,2,1,,,"Sugar,10",,,,2,,,A simple water and suger combination heated until the sugar dissolves.,1,,Food,Ingredients,15,,,,,,,,,,,,,,
SmoothGutNoodleRoll,,CastIronStove,,,3,1200,19,15,9,1,44,72,400,Cooking,4,1,,,"RiceNoodles,4;Oil,2;PreparedMeat,4",,,,3,,,These noodle rolls look VERY smooth.,1,,Food,Cooking,25,,,,,,,,,,,,,,
SpikyRoll,,Kitchen,,,4,1300,20,17,7,2,46,72,300,AdvancedCooking,3,2,,,"BoiledRice,2;Urchin,2",,,,4,,,Spikes are definitely removed before serving.,1,,Food,Cooking,45,,,,,,,,,,,,,,
StuffedTurkey,,BakeryOven,,,3,1600,17,24,16,7,64,72,500,AdvancedBaking,4,1,,,"PrimeCut,4;Bread,1;VegetableMedley,1",,,,4,,,To give thanks for the fact that this food gives two extra nutrients than other food items of the same tier.,1,,Food,Baking,65,,,,,,,,,,,,,,
Sugar,,Mill,,,0,50,15,0,0,0,15,96,100,Milling,1,1,,,"Huckleberries,8",,,,2,,Sugar,Even sweet lovers don't eat sugar plain.,0.5,,Food,Ingredients,15,,,,,,,,,,,,,,
SunButter,,,,,,0,0,0,0,0,0,96,,,,,,,,,,,,,,A revolutionary method to acquire butter.,,x,,,,,,,,,,,,,,,,,
SunCheese,,Mill,,,1,250,2,4,12,0,18,96,50,Milling,3,1,,,"SunflowerSeed,6;Yeast,2;Rice,4;Oil,2",,,,2,,,Cheesy yet not made in a traditional way.,0.5,,Food,Ingredients,15,,,,,,,,,,,,,,
Sunflower,,,,,0,50,2,2,4,0,8,96,10,,,,,,,,,,,Grassland,,A plant whose seeds are quite versitile in their use further processed.,1,,Food,Produce,,,,,,,,,,,,,,,
SweetSalad,,Kitchen,,,4,1200,18,9,7,22,56,72,400,AdvancedCooking,3,1,,,"BasicSalad,2;FruitSalad,2;SimpleSyrup,4",,,,6,,,The sweetness of the fruits happens to work well with the salad.,1,,Food,Cooking,65,,,,,,,,,,,,,,
Tallow,"Fat,1",,,,0,200,0,0,8,0,8,96,20,,,,,,,,,2000,,,Tallow,Rendered animal fat useful for more than just cooking.,1,,Food,Ingredients,,,,,,,,,,,,,,,
TaroFries,,CastIronStove,,,3,600,10,2,20,0,32,72,100,Cooking,3,1,,,"TaroRoot,4;Oil,2",,,,2,,,Crispy strips of taro that have been deep fried in oil.,1,,Food,Cooking,25,,,,,,,,,,,,,,
TaroRoot,"Vegetable,1;Root,1;Raw Food,1",,,,0,250,6,1,0,1,8,96,10,,,,,,,,,,,Rainforest,,Colocasia esculenta.,1,,Food,Produce,,,,,,,,,,,,,,,
TastyTropicalPizza,,BakeryOven,,,4,1200,28,6,12,4,50,72,300,AdvancedBaking,3,1,,,"LeavenedDough,2;RawBacon,2;Pineapple,1;SunCheese,4;Tomato,2;",,,,3,,,"To some it is tasty. To others, unforgivable.",1,,Food,Baking,45,,,,,,,,,,,,,,
Tomato,"Vegetable,1;Raw Food,1",,,,0,240,5,1,0,2,8,96,10,,,,,,,,,,,Grassland,,Intelligence is knowing this is a fruit; wisdom is not putting it in a fruit salad.,1,,Food,Produce,,,,,,,,,,,,,,,
ToppedPorridge,,Campfire,,,1a,700,10,4,0,10,24,72,200,CampfireCooking,1,1,"Fruit,1",,"BoiledGrains,1",,,,1,,ToppedPorridge,A thick gruel of boiled grains with a dash of fruity flavor.,1,,Food,Campfire,15,,,,,,,,,,,,,,
Tortilla,,Kitchen,,,4,350,20,10,0,0,30,72,100,AdvancedCooking,2,1,,,"Cornmeal,2",,,,2,,,"A thin, unleavened flatbread.",1,,Food,Cooking,45,,,,,,,,,,,,,,
Transglutaminase,,Laboratory,,,5,10,0,0,0,0,0,96,100,CuttingEdgeCooking,1,1,,,"ScrapMeat,30",,,,8,,,Any enzyme that can be used to bond proteins together.,1,,Food,Ingredients,15,,,,,,,,,,,,,,
VegetableMedley,,,,,1,900,8,4,7,17,36,72,300,,,,,,,,,,,,,An eclectic arrangement of vegetables.,1,,Food,Cooking,,,,,,,,,,,,,,,
VegetableSoup,,CastIronStove,,,3,1200,12,4,7,19,42,72,900,Cooking,3,1,,,"VegetableStock,1;VegetableMedley,1",,,,4,,,Who knew plants in plant broth could be so tasty?,1,,Food,Cooking,25,,,,,,,,,,,,,,
VegetableStock,,CastIronStove,,,3,700,11,1,2,11,25,72,800,Cooking,3,1,,,"VegetableMedley,1",,,,8,,,A hearty stock full of assorted vegetables.,1,,Food,Ingredients,15,,,,,,,,,,,,,,
Wheat,"Grain,1;Raw Food,1",,,,0,150,6,2,0,0,8,144,10,,,,,,,,,,,Grassland,Wheat,A common grain that is significantly more useful processed.,1,,Food,Produce,,,,,,,,,,,,,,,
WildMix,,Kitchen,,,4,800,15,6,4,21,46,72,600,AdvancedCooking,1,1,,,"BasicSalad,2;HuckleberryExtract,2",,,,4,,,"A dressed salad that, with the added sweetness, it's pretty tasty.",1,,Food,Cooking,45,,,,,,,,,,,,,,
WildStew,,Campfire,,,,1100,8,2,6,12,28,72,500,CampfireCooking,6,1,"Vegetable,1",,"Huckleberries,2;Beans,1;Beet,1",,,,1,,,A thick stew made with a variety of vegetables.,1,,Food,Campfire,15,,,,,,,,,,,,,,
WiltedFiddleheads,"CharredGreen,1",Campfire,,,0a,350,4,1,0,7,12,72,200,CampfireCooking,0,1,,,,"Fiddleheads,1",,,0.5,,WiltedFiddleheads,"While a bunch of wilted fiddleheads may seem a bit sad, at least they're nutritious.",0.5,,Food,Charred Food,15,,,,,,,,,,,,,,
WorldlyDonut,,BakeryOven,,,3,750,15,2,17,2,36,96,200,Baking,4,1,,,"Sugar,2;PastryDough,1;Oil,2",,,,1,,,"Understand this, and you will understand a lot.",1,,Food,Baking,25,,,,,,,,,,,,,,
Yeast,,Mill,,,4,60,0,8,0,7,15,96,100,Milling,4,1,,,"Sugar,2",,,,2,,Yeast,A fungus that acts as an amazing leavening agent.,1,,Food,Ingredients,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeedTemplate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Hidden,Tags,Plant,GrowthTime,Description,Calories,Carbs,Protein,Fat,Vitamins,ShelfLifeHours,Biome,CraftingTable,TagRecipe,Ingredients,Skill,ReqSkillLevel,CraftTime,SkillReductPercent,HalfVal,Weight,Labor,,,,,,,,,,,,,,,,,,,,,,,
Acorn,,,Oak,50000,Plant to grow an oak tree.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
AgaveSeed,,"Crop Seed,1",Agave,20000,Plant to grow an agave plant.,0,0,0,0,0,96,,FarmersTable,,"AgaveLeaves,1",Farming,1,1,0.2,4,50,25,,,,,,,,,,,,,,,,,,,,,,,
AmanitaMushroomSpores,,"Crop Seed,1",AmanitaMushroom,20000,"Plant to grow amanita mushrooms. Not sure why you'd want these poisonous mushrooms, though.",0,0,0,0,0,96,,FarmersTable,,"AmanitaMushrooms,1",Farming,1,1,0.2,4,50,25,,,,,,,,,,,,,,,,,,,,,,,
ArcticWillowSeed,,,ArcticWillow,5000,Plant to grow arctic willow.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
BarrelCactusSeed,,,BarrelCactus,5000,Plant to grow barrel cactus.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
Beans,,"Vegetable,1;Raw Food,1;Crop,1;Crop Seed,1",Beans,20000,A good source of protein.,150,1,4,3,0,96,Forest,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
BeetSeed,,"Crop Seed,1",Beets,20000,Plant to grow beets.,0,0,0,0,0,96,,FarmersTable,,"Beet,1",Farming,1,1,0.2,4,50,25,,,,,,,,,,,,,,,,,,,,,,,
BigBluestemSeed,,,BigBluestem,20000,Plant to grow a big bluestem plant.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
BirchSeed,,,Birch,5000,Plant to grow into a birch sapling.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
BoleteMushroomSpores,,"Crop Seed,1",BoleteMushroom,20000,Plant to grow bolete mushrooms.,0,0,0,0,0,96,,FarmersTable,,"BoleteMushrooms,1",Farming,1,1,0.2,4,50,25,,,,,,,,,,,,,,,,,,,,,,,
BullrushSeed,,,Bullrush,20000,Plant to grow bullrush.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
BunchgrassSeed,,,Bunchgrass,5000,Plant to grow bunchgrass.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
CamasBulb,,"Vegetable,1;Root,1;Raw Food,1;Crop,1;Crop Seed,1",Camas,20000,Plant to grow a camas plant.,150,1,2,5,0,96,Grassland,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
CedarSeed,,,Cedar,5000,Plant to grow a cedar sapling.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
CeibaSeed,,,Ceiba,5000,Plant to grow a ceiba sapling.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
CookeinaMushroomSpores,,"Crop Seed,1",CookeinaMushroom,20000,Plant to grow cookeina mushrooms.,0,0,0,0,0,96,,FarmersTable,,"CookeinaMushrooms,1",Farming,1,1,0.2,4,50,25,,,,,,,,,,,,,,,,,,,,,,,
CornSeed,,"Crop Seed,1",Corn,30000,Plant to grow corn.,0,0,0,0,0,96,,FarmersTable,,"Corn,1",Farming,1,1,0.2,4,50,25,,,,,,,,,,,,,,,,,,,,,,,
CottonSeed,,,Cotton,20000,Plant to grow cotton.,0,0,0,0,0,96,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
CreosoteBushSeed,,,CreosoteBush,20000,Plant to grow creosote bushes.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
CriminiMushroomSpores,,"Crop Seed,1",CriminiMushroom,20000,Plant to grow crimini mushrooms.,0,0,0,0,0,96,,FarmersTable,,"CriminiMushrooms,1",Farming,1,1,0.2,4,50,25,,,,,,,,,,,,,,,,,,,,,,,
DwarfWillowSeed,,,DwarfWillow,5000,Plant to grow dwarf willow.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
FernSpore,,"Crop Seed,1",Fern,14000,Plant to grow ferns.,0,0,0,0,0,96,,FarmersTable,,"Fiddleheads,1",Farming,1,1,0.2,4,50,25,,,,,,,,,,,,,,,,,,,,,,,
FilmyFernSpore,,,FilmyFern,20000,Plant to grow a filmy fern.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
FireweedSeed,,"Crop Seed,1",Fireweed,20000,Plant to grow fireweed.,0,0,0,0,0,96,,FarmersTable,,"FireweedShoots,1",Farming,1,1,0.2,4,50,25,,,,,,,,,,,,,,,,,,,,,,,
FirSeed,,,Fir,5000,Plant to grow a fir tree.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
FlaxSeed,x,,Flax,5000,Plant to grow flax. ,0,0,0,0,0,168,,,,"FlaxStem,1",Farming,1,1,0.2,4,50,25,,,,,,,,,,,,,,,,,,,,,,,
GrassSeed,,,CommonGrass,5000,Plant to grow grass.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
HeliconiaSeed,,,Heliconia,20000,Plant to grow heliconia.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
HuckleberrySeed,,"Crop Seed,1",Huckleberry,20000,Plant to grow a huckleberry bush.,0,0,0,0,0,96,,FarmersTable,,"Huckleberries,2",Farming,1,1,0.2,4,50,25,,,,,,,,,,,,,,,,,,,,,,,
JointfirSeed,,,Jointfir,20000,Plant to grow a jointfir.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
JoshuaSeed,,,Joshua,5000,Plant to grow a joshua tree.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
KelpSeed,x,,Kelp,10000,Plant to grow kelp.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
KingFernSpore,,,KingFern,20000,Plant to grow king fern.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
LatticeMushroomSpores,,,LatticeMushroom,20000,Plant to grow lattice mushrooms.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
LupineSeed,,,Lupine,5000,Plant to grow lupine.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
OceanSpraySeed,,,OceanSpray,20000,Plant to grow ocean spray.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
OrchidSeed,,,Orchid,20000,Plant to grow an orchid.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
PalmSeed,,,Palm,50000,Plant to grow a palm tree.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
PapayaSeed,,"Crop Seed,1",Papaya,20000,Plant to grow a papaya plant.,0,0,0,0,0,96,,FarmersTable,,"Papaya,2",Farming,1,1,0.2,4,50,25,,,,,,,,,,,,,,,,,,,,,,,
PineappleSeed,,"Crop Seed,1",Pineapple,20000,Plant to grow a pineapple plant.,0,0,0,0,0,96,,FarmersTable,,"Pineapple,1",Farming,1,1,0.2,4,50,25,,,,,,,,,,,,,,,,,,,,,,,
PricklyPearSeed,,"Crop Seed,1",PricklyPear,20000,Plant to grow prickly pear cacti.,0,0,0,0,0,96,,FarmersTable,,"PricklyPearFruit,2",Farming,1,1,0.2,4,50,25,,,,,,,,,,,,,,,,,,,,,,,
PumpkinSeed,,"Crop Seed,1",Pumpkin,20000,Plant to grow a pumpkin.,0,0,0,0,0,96,,FarmersTable,,"Pumpkin,1",Farming,1,1,0.2,4,50,25,,,,,,,,,,,,,,,,,,,,,,,
RedwoodSeed,,,Redwood,50000,Plant to grow a redwood tree.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
Rice,,"Grain,1;Raw Food,1;Crop,1;Crop Seed,1",Rice,20000,Plant to grow rice.,150,7,1,0,0,144,Wetland,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
SaguaroSeed,,,SaguaroCactus,30000,Plant to grow a saguaro cactus.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
SaxifrageSeed,,,Saxifrage,20000,Plant to grow saxifrage.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
SeagrassSeed,,,Seagrass,20000,Plant to grow seagrass.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
SpruceSeed,,,Spruce,5000,Plant to grow a spruce tree.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,,,Wheat,20000,How did you even get this?,1,0,0,1,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
SunflowerSeed,,"Crop Seed,1",Sunflower,20000,Plant to grow sunflowers.,0,0,0,0,0,96,,FarmersTable,,"Sunflower,0.5",Farming,1,1,0.2,4,50,25,,,,,,,,,,,,,,,,,,,,,,,
TaroSeed,,"Crop Seed,1",Taro,20000,Plant to grow taro.,0,0,0,0,0,96,,FarmersTable,,"TaroRoot,1",Farming,1,1,0.2,4,50,25,,,,,,,,,,,,,,,,,,,,,,,
TomatoSeed,,"Crop Seed,1",Tomatoes,20000,Plant to grow tomato plants.,0,0,0,0,0,96,,FarmersTable,,"Tomato,2",Farming,1,1,0.2,4,50,25,,,,,,,,,,,,,,,,,,,,,,,
TrilliumSeed,,,Trillium,20000,Plant to grow trillium.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
WaterweedSeed,,,Waterweed,10000,Plant to grow waterweed.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
WheatSeed,,"Crop Seed,1",Wheat,40000,Plant to grow wheat.,0,0,0,0,0,96,,FarmersTable,,"Wheat,1",Farming,1,1,0.2,4,50,25,,,,,,,,,,,,,,,,,,,,,,,
WhiteBursageSeed,,,WhiteBursage,20000,Plant to grow a white bursage.,0,0,0,0,0,168,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BiomeTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Forest,Grassland,Wetland,Desert,Tundra,Urban,Rainforest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YieldMultipliers,"1.4f, 1.5f, 1.6f, 1.7f, 1.8f, 1.9f, 2.0f","1.4f, 1.5f, 1.6f, 1.7f, 1.8f, 1.9f, 2.0f","1.4f, 1.5f, 1.6f, 1.7f, 1.8f, 1.9f, 2.0f","1.4f, 1.5f, 1.6f, 1.7f, 1.8f, 1.9f, 2.0f","1.4f, 1.5f, 1.6f, 1.7f, 1.8f, 1.9f, 2.0f","1.4f, 1.5f, 1.6f, 1.7f, 1.8f, 1.9f, 2.0f","1.4f, 1.5f, 1.6f, 1.7f, 1.8f, 1.9f, 2.0f",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YieldSkill,Gathering,Gathering,Gathering,Gathering,Gathering,Gathering,Gathering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PlantTemplate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,BlockAttributes,Interactable,MoveEfficiency,PlantType,InitMultiplier,MaturityAgeDays,ResourceList,CalorieValue,CO2,MinTemp,LowTemp,HighTemp,MaxTemp,MinMoisture,LowMoisture,HighMoisture,MaxMoisture,MinSalt,LowSalt,HighSalt,MaxSalt,SpawnMin,SpawnMax,SpawnPointMultiplier,BlanketSpawn,ResourceConstraints,CapacityConstraints,Rates,PollutionResistance,HarvestingRules,SpawnNear,Height,Description,EcopediaCategory,EcopediaPage,,,,,,,,,,
Agave,Reapable,,0.6,Plant,1,0.8,"AgaveLeaves,1,3,1;AgaveSeed,1,2,0.2",8,Medium,0.7,0.75,0.9,0.95,0,0.1,0.25,0.35,0,0,0.1,0.2,,,,0.8,"Phosphorus, 0.1, 0.2;SoilMoisture, 0.1, 0.05","FertileGround, 1;ShrubSpace, 3",Default,Medium,Default,,1,,Plants,Plants,,,,,,,,,,
AmanitaMushroom,,x,,Plant,1,0.8,"AmanitaMushrooms,1,2,1;AmanitaMushroomSpores,1,2,0.2",1,Minor,0.4,0.45,0.55,0.6,0.5,0.55,0.75,0.8,0,0,0.1,0.2,,,,0.8,"Phosphorus, 0.1, 0.2;SoilMoisture, 0.1, 0.05","FertileGround, 2;ShrubSpace, 2",Default,Medium,Default,,1,,Plants,Fungi,,,,,,,,,,
ArcticWillow,Reapable,,,Plant,1,0.8,"PlantFibers,1,3,1;ArcticWillowSeed,1,2,0.1",2,Medium,0.1,0.12,0.28,0.3,0.2,0.25,0.48,0.5,0,0,0.1,0.2,,,,0.6,"Nitrogen, 0.1, 0.2;Phosphorus, 0.15, 0.3;Potassium, 0.1, 0.2;SoilMoisture, 0.05, 0.1","FertileGround, 2;ShrubSpace, 2",Default,Medium,Default,,1,,Plants,Plants,,,,,,,,,,
BarrelCactus,Reapable,,0.6,Plant,1,0.8,"PlantFibers,1,3,1;BarrelCactusSeed,1,2,0.1",4,Minor,0.7,0.8,0.9,1,0,0.05,0.25,0.3,0,0,0.1,0.2,3,8,0.05,0.8,"Phosphorus, 0.1, 0.2;SoilMoisture, 0.1, 0.05","FertileGround, 3;ShrubSpace, 3",Default,Medium,Default,,1,,Plants,Plants,,,,,,,,,,
Beans,Reapable,x,,Plant,1,0.8,"Beans,1,3,1",8,Medium,0.3,0.35,0.55,0.6,0.35,0.4,0.75,0.8,0,0,0.1,0.2,,,,0.5,"Nitrogen, 0.2, 0.1;Phosphorus, 0.2, 0.2;Potassium, 0.2, 0.2;SoilMoisture, 0.1, 0.1","FertileGround, 3;ShrubSpace, 3",Default,Medium,Default,x,1,,Plants,Plants,,,,,,,,,,
Beets,,x,,Plant,1,0.8,"Beet,1,3,1;BeetGreens,1,1,0.5;BeetSeed,1,2,0.2",6,Medium,0.4,0.5,0.55,0.8,0.3,0.32,0.55,0.6,0,0,0.1,0.2,,,,0.5,"Nitrogen, 0.2, 0.2;Phosphorus, 0.2, 0.3;Potassium, 0.3, 0.4;SoilMoisture, 0.2, 0.1","FertileGround, 3;ShrubSpace, 3",Default,Medium,Default,x,1,,Plants,Plants,,,,,,,,,,
BigBluestem,Reapable,,0.8,Plant,1,0.8,"PlantFibers,1,4,1;BigBluestemSeed,1,2,0.1",4,Medium,0.6,0.63,0.79,0.82,0.28,0.32,0.48,0.52,0,0,0.1,0.2,,,,1,"Nitrogen, 0.01, 0.01;Phosphorus, 0.01, 0.01;Potassium, 0.01, 0.01;SoilMoisture, 0.01, 0.02","FertileGround, 1",Default,Medium,Grass,,1,,Plants,Plants,,,,,,,,,,
Birch,,,,Tree,1,5,"BirchLog,0,50,1",15,TreeMedium,0.5,0.55,0.75,0.8,0.5,0.52,0.58,0.6,0,0,0.1,0.2,,,,0.5,"SoilMoisture, 0.1, 0.1","FertileGround, 10;CanopySpace, 30",Tree,Medium,NoScythe,,1,,Plants,Trees,,,,,,,,,,
BoleteMushroom,,x,,Plant,1,0.8,"BoleteMushrooms,1,3,1;BoleteMushroomSpores,1,2,0.2",4,Minor,0.4,0.45,0.75,0.8,0.6,0.65,0.85,0.9,0,0,0.1,0.2,,,,0.6,"Nitrogen, 0.2, 0.1;Phosphorus, 0.2, 0.2;Potassium, 0.2, 0.2;SoilMoisture, 0.1, 0.1","FertileGround, 2;ShrubSpace, 2",Default,Medium,Default,x,1,,Plants,Fungi,,,,,,,,,,
Bullrush,Reapable,,,Plant,1,0.8,"PlantFibers,1,3,1;BullrushSeed,1,2,0.1",3,Minor,0.4,0.42,0.58,0.6,0.6,0.62,0.9,1,0,0,0.1,0.2,10,20,0.2,10,"Nitrogen, 0.25, 0.4;Potassium, 0.1, 0.2;SoilMoisture, 0.4, 0.2","FertileGround, 1;ShrubSpace, 1",Default,Medium,Default,,1,,Plants,Plants,,,,,,,,,,
Bunchgrass,Reapable,,,Plant,1,0.8,"PlantFibers,1,3,1;BunchgrassSeed,1,2,0.1",2,Minor,0.4,0.6,0.65,0.8,0.3,0.4,0.45,0.6,0,0,0.1,0.2,,,,0.8,"Nitrogen, 0.1, 0.1;Phosphorus, 0.2, 0.1;Potassium, 0.1, 0.1;SoilMoisture, 0.1, 0.02","FertileGround, 3;ShrubSpace, 3",Default,Medium,Grass,,1,,Plants,Plants,,,,,,,,,,
Buttonbush,Reapable,,0.5,Plant,1,0.8,"PlantFibers,1,3,1",5,Medium,0.4,0.45,0.55,0.6,0.6,0.65,0.75,0.8,0,0,0.1,0.2,,,,0.8,"Nitrogen, 0.1, 0.2;Phosphorus, 0.1, 0.2;Potassium, 0.1, 0.2","FertileGround, 2;ShrubSpace, 5",Default,Medium,Default,,1,,Plants,Plants,,,,,,,,,,
Camas,Diggable,,,Plant,1,0.8,"CamasBulb,1,3,1",5,Medium,0.2,0.25,0.7,0.8,0.4,0.45,0.58,0.6,0,0,0.1,0.2,,,,0.5,"Nitrogen, 0.2, 0.2;Phosphorus, 0.1, 0.1;Potassium, 0.4, 0.4;SoilMoisture, 0.15, 0.05","FertileGround, 3;ShrubSpace, 3",Default,Medium,Default,,1,,Plants,Plants,,,,,,,,,,
Cedar,,,,Tree,1,5,"CedarLog,0,50,1",15,TreeMedium,0.5,0.55,0.75,0.8,0.5,0.48,0.58,0.6,0,0,0.1,0.2,,,,0.5,"SoilMoisture, 0.1, 0.1","FertileGround, 10;CanopySpace, 30",Tree,Medium,NoScythe,,1,,Plants,Trees,,,,,,,,,,
Ceiba,,,,Tree,1,6,"CeibaLog,0,60,1",30,TreeMajor,0.6,0.65,0.75,0.8,0.7,0.75,0.95,1,0,0,0.1,0.2,,,,0.7,"SoilMoisture, 0.0, 1.0","FertileGround, 4;CanopySpace, 10",Tree,Medium,NoScythe,,1,,Plants,Trees,,,,,,,,,,
Clam,UnderWater,x,,Plant,1,0.8,"Clam,1,2,1",5,None,0.38,0.5,0.9,1,0,0.1,0.9,1,0.4,0.5,1,1.1,,,,0.5,"Nitrogen, 0.01, 0.02;Phosphorus, 0.01, 0.02;Potassium, 0.01, 0.02;SoilMoisture, 0.01, 0.02","UnderwaterFertileGround, 6",Default,Medium,Default,,2,,Animals,Invertebrates,,,,,,,,,,
CommonGrass,Reapable,,,Plant,1,0.8,"PlantFibers,1,3,1",2,Minor,0.48,0.52,0.78,0.82,0.28,0.32,0.6,0.62,0,0,0.1,0.2,,,,1,"Nitrogen, 0.01, 0.01;Phosphorus, 0.01, 0.01;Potassium, 0.01, 0.01;SoilMoisture, 0.01, 0.02","FertileGround, 1",Default,Major,Grass,,1,,Plants,Plants,,,,,,,,,,
CookeinaMushroom,,x,,Plant,1,0.8,"CookeinaMushrooms,1,2,1;CookeinaMushroomSpores,1,2,0.2",4,Minor,0.4,0.45,0.75,0.8,0.6,0.65,0.85,0.9,0,0,0.1,0.2,,,,0.8,"Nitrogen, 0.2, 0.1;Phosphorus, 0.2, 0.2;Potassium, 0.2, 0.2;SoilMoisture, 0.1, 0.1","FertileGround, 2;ShrubSpace, 2",Default,Medium,Default,,1,,Plants,Fungi,,,,,,,,,,
Corn,Reapable,x,0.75,Plant,1,0.8,"Corn,1,3,1;CornSeed,1,2,0.2",8,Medium,0.4,0.4,0.5,0.8,0.3,0.32,0.45,0.5,0,0,0.1,0.2,,,,0.6,"Nitrogen, 0.4, 0.4;Phosphorus, 0.4, 0.4;Potassium, 0.1, 0.1;SoilMoisture, 0.1, 0.1","FertileGround, 3;ShrubSpace, 3",Default,Medium,Default,x,1,,Plants,Plants,,,,,,,,,,
Cotton,,x,0.75,Plant,1,1.2,"CottonBoll,1,3,1",1,Medium,0.4,0.4,0.6,0.6,0.6,0.6,0.8,0.8,0,0,0.1,0.2,,,,0.6,"Nitrogen, 0.1, 0.1;Phosphorus, 0.1, 0.15;Potassium, 0.2, 0.2;SoilMoisture, 0.2, 0.2","FertileGround,1;ShrubSpace,3",Default,Medium,Pickable,,1,,Plants,Plants,,,,,,,,,,
